c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
186150629;143865972;15200;51;1598;"базового класса";;21;Обыч.;"Ключ от кейса CS:GO";D2D2D2;1215
186150630;143865972;15400;31;242;"базового класса";;21;Обыч.;"Ключ eSports";D2D2D2;1269
191923205;143865972;12900;28;522;"базового класса";;3279;Обыч.;"Именной ярлык";D2D2D2;1250
259019412;143865972;27000;13;345;"базового класса";;21;Обыч.;"Ключ от кейса Winter Offensive";D2D2D2;693
259019413;143865972;7290;269;886;"базового класса";;3111;Обыч.;"Коробка с подарком";D2D2D2;1061
259019414;143865972;200000;1;4;"базового класса";;3111;Обыч.;"Посылка для аудитории";D2D2D2;506
259019415;143865972;120503;2;1;"базового класса";;3111;Обыч.;"Груда подарков";D2D2D2;615
310776497;188530139;118788;10;98;Засекреченное;"Немного поношенное";47;Обыч.;"AWP | БАХ (Немного поношенное)";D2D2D2;1235
310776501;0;57500;1;23;Запрещенное;"Прямо с завода";47;Обыч.;"SCAR-20 | Изумруд (Прямо с завода)";D2D2D2;550
310776502;0;164;10;122;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Наемник (Немного поношенное)";D2D2D2;512
310776504;188530139;43000;1;94;Засекреченное;"Немного поношенное";19;Обыч.;"USP-S | Сыворотка (Немного поношенное)";D2D2D2;705
310776507;188530139;31499;7;187;Запрещенное;"Немного поношенное";17;Обыч.;"M4A1-S | Темная вода (Немного поношенное)";D2D2D2;950
310776509;0;120;27;122;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Песчаная сетка (Немного поношенное)";D2D2D2;692
310776512;0;410;43;289;"Промышленное качество";"Прямо с завода";3;Обыч.;"MAC-10 | Карамельное яблоко (Прямо с завода)";D2D2D2;1027
310776521;188530139;24680;4;280;Запрещенное;"После полевых испытаний";19;Обыч.;"USP-S | Камуфляж (После полевых испытаний)";D2D2D2;985
310776522;188530139;2130;20;195;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испыта";D2D2D2;357
